qseqid	sseqid	nident	pident	positive	ppos	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
e23b8e885caf0009dea9_mega	a6b0dce31c68a39d61b6_fireprot	7	43.75	10	62.5	16	9	0	1	16	347	362	3.5	19.6
12a97526f5538e795004_mega	12a97526f5538e795004_mega	72	100.0	72	100.0	72	0	0	1	72	1	72	8.06e-50	145.0
12a97526f5538e795004_mega	1dc1ec899be6ef5bc9c1_mega	71	100.0	71	100.0	71	0	0	2	72	1	71	4.75e-49	144.0
12a97526f5538e795004_mega	59523bbacbdc27358e85_S669	8	53.333	10	66.67	15	7	0	48	62	121	135	7.8	19.2
1dc1ec899be6ef5bc9c1_mega	12a97526f5538e795004_mega	71	100.0	71	100.0	71	0	0	1	71	2	72	4.68e-49	144.0
1dc1ec899be6ef5bc9c1_mega	1dc1ec899be6ef5bc9c1_mega	71	100.0	71	100.0	71	0	0	1	71	1	71	4.76e-49	143.0
1dc1ec899be6ef5bc9c1_mega	59523bbacbdc27358e85_S669	8	53.333	10	66.67	15	7	0	47	61	121	135	7.5	19.2
861d368f8893c8966ded_mega	861d368f8893c8966ded_mega	57	100.0	57	100.0	57	0	0	1	57	1	57	4.5299999999999997e-39	117.0
861d368f8893c8966ded_mega	22265872fd441dca9747_S2648	15	28.846	30	57.69	52	37	0	1	52	9	60	3.29e-06	35.0
861d368f8893c8966ded_mega	22265872fd441dca9747_ptmuld	15	28.846	30	57.69	52	37	0	1	52	9	60	3.29e-06	35.0
861d368f8893c8966ded_mega	ca7937ac516c08e76350_tmdbs	15	28.846	30	57.69	52	37	0	1	52	97	148	8.98e-06	35.0
861d368f8893c8966ded_mega	ca7937ac516c08e76350_fireprot	15	28.846	30	57.69	52	37	0	1	52	97	148	8.98e-06	35.0
861d368f8893c8966ded_mega	87373a6481c464b2c1a2_fireprot	9	32.143	18	64.29	28	19	0	19	46	53	80	0.027	25.4
861d368f8893c8966ded_mega	2b210a8069328e906b6c_tmdbs	9	32.143	18	64.29	28	19	0	19	46	52	79	0.028	25.4
861d368f8893c8966ded_mega	2b210a8069328e906b6c_S2648	9	32.143	18	64.29	28	19	0	19	46	52	79	0.028	25.4
861d368f8893c8966ded_mega	91c4c53dd19d7a79faa6_tmdbs	8	36.364	14	63.64	22	14	0	26	47	60	81	1.7	20.4
861d368f8893c8966ded_mega	14628bd52083f36973fe_tmdbs	8	36.364	14	63.64	22	14	0	26	47	61	82	1.7	20.4
861d368f8893c8966ded_mega	a44dac14a6ec5737ec3f_mega	13	30.233	22	51.16	43	28	1	11	51	20	62	2.2	19.6
861d368f8893c8966ded_mega	2cb37989ee4dea035a83_S2648	11	22.917	22	45.83	48	27	1	15	52	79	126	2.5	20.0
861d368f8893c8966ded_mega	2cb37989ee4dea035a83_ptmuld	11	22.917	22	45.83	48	27	1	15	52	79	126	2.5	20.0
861d368f8893c8966ded_mega	939446760a8785c9e373_fireprot	10	30.303	15	45.45	33	23	0	11	43	29	61	2.5	20.0
861d368f8893c8966ded_mega	2ba70882bd01986b4d14_tmdbs	10	30.303	15	45.45	33	23	0	11	43	27	59	2.7	20.0
861d368f8893c8966ded_mega	2ba70882bd01986b4d14_S2648	10	30.303	15	45.45	33	23	0	11	43	27	59	2.7	20.0
861d368f8893c8966ded_mega	3e1297730ff4b26163f6_fireprot	11	22.917	22	45.83	48	27	1	15	52	119	166	2.9	20.0
861d368f8893c8966ded_mega	c00a8f10507eb4401a0d_tmdbs	6	21.429	15	53.57	28	22	0	29	56	26	53	6.0	18.9
861d368f8893c8966ded_mega	c00a8f10507eb4401a0d_S2648	6	21.429	15	53.57	28	22	0	29	56	26	53	6.0	18.9
861d368f8893c8966ded_mega	c00a8f10507eb4401a0d_fireprot	6	21.429	15	53.57	28	22	0	29	56	26	53	6.0	18.9
d7f2c51b0f22ae017f29_mega	d7f2c51b0f22ae017f29_mega	67	100.0	67	100.0	67	0	0	1	67	1	67	4.4499999999999995e-45	133.0
d7f2c51b0f22ae017f29_mega	577da8c6741ee1667c4c_tmdbs	66	98.507	66	98.51	67	1	0	1	67	1	67	5.82e-44	130.0
d7f2c51b0f22ae017f29_mega	577da8c6741ee1667c4c_tmdbm	66	98.507	66	98.51	67	1	0	1	67	1	67	5.82e-44	130.0
d7f2c51b0f22ae017f29_mega	577da8c6741ee1667c4c_S2648	66	98.507	66	98.51	67	1	0	1	67	1	67	5.82e-44	130.0
d7f2c51b0f22ae017f29_mega	577da8c6741ee1667c4c_ptmuld	66	98.507	66	98.51	67	1	0	1	67	1	67	5.82e-44	130.0
d7f2c51b0f22ae017f29_mega	577da8c6741ee1667c4c_fireprot	66	98.507	66	98.51	67	1	0	1	67	1	67	5.82e-44	130.0
d7f2c51b0f22ae017f29_mega	548d3de7df26cc4d0f93_mega	65	97.015	65	97.01	67	2	0	1	67	1	67	7.950000000000001e-43	127.0
d7f2c51b0f22ae017f29_mega	89dc86e7ce24577d5142_tmdbs	54	83.077	58	89.23	65	11	0	1	65	1	65	1.18e-35	109.0
d7f2c51b0f22ae017f29_mega	89dc86e7ce24577d5142_tmdbm	54	83.077	58	89.23	65	11	0	1	65	1	65	1.18e-35	109.0
d7f2c51b0f22ae017f29_mega	89dc86e7ce24577d5142_S2648	54	83.077	58	89.23	65	11	0	1	65	1	65	1.18e-35	109.0
d7f2c51b0f22ae017f29_mega	89dc86e7ce24577d5142_ptmuld	54	83.077	58	89.23	65	11	0	1	65	1	65	1.18e-35	109.0
d7f2c51b0f22ae017f29_mega	94ae660e6fc7a987ed0c_mega	47	72.308	55	84.62	65	18	0	1	65	1	65	6.14e-31	97.8
d7f2c51b0f22ae017f29_mega	1dbbb52ae32b9392fa55_mega	47	72.308	55	84.62	65	18	0	1	65	1	65	1.76e-30	96.7
d7f2c51b0f22ae017f29_mega	ee3b4526d14843725d53_tmdbs	40	64.516	50	80.65	62	22	0	2	63	1	62	1.83e-24	81.6
d7f2c51b0f22ae017f29_mega	980048d4815b02ecaf6a_tmdbs	39	60.938	48	75.0	64	24	1	2	64	5	68	8.15e-24	80.1
d7f2c51b0f22ae017f29_mega	980048d4815b02ecaf6a_tmdbm	39	60.938	48	75.0	64	24	1	2	64	5	68	8.15e-24	80.1
d7f2c51b0f22ae017f29_mega	980048d4815b02ecaf6a_fireprot	39	60.938	48	75.0	64	24	1	2	64	5	68	8.15e-24	80.1
d7f2c51b0f22ae017f29_mega	e5b8d48ca93aaca5f5c6_S2648	39	60.938	48	75.0	64	24	1	2	64	4	67	8.49e-24	79.7
d7f2c51b0f22ae017f29_mega	e5b8d48ca93aaca5f5c6_ptmuld	39	60.938	48	75.0	64	24	1	2	64	4	67	8.49e-24	79.7
d7f2c51b0f22ae017f29_mega	7875d84d293f77452d60_mega	38	59.375	47	73.44	64	25	1	2	64	3	66	5.64e-23	77.8
d7f2c51b0f22ae017f29_mega	7aad94b380af53395ccf_mega	38	59.375	47	73.44	64	25	1	2	64	3	66	1.13e-22	77.0
d7f2c51b0f22ae017f29_mega	9b96417c60b8496150eb_mega	30	50.0	37	61.67	60	29	1	5	63	7	66	1.7e-13	53.9
d7f2c51b0f22ae017f29_mega	5330c36bf5ebb10b7ca7_mega	30	49.18	37	60.66	61	30	1	4	63	6	66	5.66e-13	52.4
d7f2c51b0f22ae017f29_mega	2df66e157786d2d80405_mega	18	27.273	33	50.0	66	44	1	2	67	1	62	0.000263	30.4
d7f2c51b0f22ae017f29_mega	5d089892785692506fa0_mega	18	32.143	28	50.0	56	35	2	8	63	10	62	0.00035	30.0
d7f2c51b0f22ae017f29_mega	c07b8152be774dc23333_tmdbs	8	40.0	10	50.0	20	12	0	3	22	4	23	4.5	19.6
d7f2c51b0f22ae017f29_mega	c07b8152be774dc23333_fireprot	8	40.0	10	50.0	20	12	0	3	22	4	23	4.5	19.6
d7f2c51b0f22ae017f29_mega	cafcf5caafbc6b0cf05e_tmdbs	8	42.105	10	52.63	19	11	0	17	35	54	72	7.2	18.9
d7f2c51b0f22ae017f29_mega	ab310c3efb0ba443cd6a_S669	8	42.105	10	52.63	19	11	0	17	35	47	65	8.1	18.9
d7f2c51b0f22ae017f29_mega	a9ac42b2583e0016c727_fireprot	11	55.0	13	65.0	20	7	2	3	20	30	49	9.2	18.9
9b96417c60b8496150eb_mega	9b96417c60b8496150eb_mega	69	100.0	69	100.0	69	0	0	1	69	1	69	6.37e-48	140.0
9b96417c60b8496150eb_mega	5330c36bf5ebb10b7ca7_mega	67	97.101	67	97.1	69	2	0	1	69	1	69	5.75e-46	135.0
9b96417c60b8496150eb_mega	94ae660e6fc7a987ed0c_mega	33	53.226	43	69.35	62	28	1	6	67	4	64	2.49e-18	65.9
9b96417c60b8496150eb_mega	1dbbb52ae32b9392fa55_mega	32	53.333	41	68.33	60	27	1	8	67	6	64	6.46e-17	62.4
9b96417c60b8496150eb_mega	980048d4815b02ecaf6a_tmdbs	30	50.847	37	62.71	59	29	0	8	66	9	67	8.74e-16	59.7
9b96417c60b8496150eb_mega	980048d4815b02ecaf6a_tmdbm	30	50.847	37	62.71	59	29	0	8	66	9	67	8.74e-16	59.7
9b96417c60b8496150eb_mega	980048d4815b02ecaf6a_fireprot	30	50.847	37	62.71	59	29	0	8	66	9	67	8.74e-16	59.7
9b96417c60b8496150eb_mega	e5b8d48ca93aaca5f5c6_S2648	30	50.847	37	62.71	59	29	0	8	66	8	66	9.11e-16	59.7
9b96417c60b8496150eb_mega	e5b8d48ca93aaca5f5c6_ptmuld	30	50.847	37	62.71	59	29	0	8	66	8	66	9.11e-16	59.7
9b96417c60b8496150eb_mega	ee3b4526d14843725d53_tmdbs	28	44.444	44	69.84	63	34	1	6	68	3	64	1.8e-15	58.9
9b96417c60b8496150eb_mega	89dc86e7ce24577d5142_tmdbs	28	45.902	40	65.57	61	32	1	6	66	4	63	7.4e-15	57.4
9b96417c60b8496150eb_mega	89dc86e7ce24577d5142_tmdbm	28	45.902	40	65.57	61	32	1	6	66	4	63	7.4e-15	57.4
9b96417c60b8496150eb_mega	89dc86e7ce24577d5142_S2648	28	45.902	40	65.57	61	32	1	6	66	4	63	7.4e-15	57.4
9b96417c60b8496150eb_mega	89dc86e7ce24577d5142_ptmuld	28	45.902	40	65.57	61	32	1	6	66	4	63	7.4e-15	57.4
9b96417c60b8496150eb_mega	7875d84d293f77452d60_mega	27	55.102	33	67.35	49	22	0	8	56	7	55	7.76e-15	57.4
9b96417c60b8496150eb_mega	577da8c6741ee1667c4c_tmdbs	31	51.667	38	63.33	60	28	1	7	66	5	63	8.45e-15	57.0
9b96417c60b8496150eb_mega	577da8c6741ee1667c4c_tmdbm	31	51.667	38	63.33	60	28	1	7	66	5	63	8.45e-15	57.0
9b96417c60b8496150eb_mega	577da8c6741ee1667c4c_S2648	31	51.667	38	63.33	60	28	1	7	66	5	63	8.45e-15	57.0
9b96417c60b8496150eb_mega	577da8c6741ee1667c4c_ptmuld	31	51.667	38	63.33	60	28	1	7	66	5	63	8.45e-15	57.0
9b96417c60b8496150eb_mega	577da8c6741ee1667c4c_fireprot	31	51.667	38	63.33	60	28	1	7	66	5	63	8.45e-15	57.0
9b96417c60b8496150eb_mega	7aad94b380af53395ccf_mega	29	49.153	36	61.02	59	30	0	8	66	7	65	9.56e-15	57.0
9b96417c60b8496150eb_mega	548d3de7df26cc4d0f93_mega	31	51.667	37	61.67	60	28	1	7	66	5	63	4.36e-14	55.5
9b96417c60b8496150eb_mega	d7f2c51b0f22ae017f29_mega	30	50.0	37	61.67	60	29	1	7	66	5	63	1.75e-13	53.9
9b96417c60b8496150eb_mega	2df66e157786d2d80405_mega	12	40.0	19	63.33	30	17	1	7	36	4	32	0.12	23.5
9b96417c60b8496150eb_mega	ac25bc3c98d4695d9ddc_ptmuld	12	30.769	22	56.41	39	24	1	1	39	20	55	1.0	21.2
9b96417c60b8496150eb_mega	e91c32fc0f7936e0e3ea_tmdbs	12	30.769	22	56.41	39	24	1	1	39	20	55	1.2	21.2
9b96417c60b8496150eb_mega	e91c32fc0f7936e0e3ea_tmdbm	12	30.769	22	56.41	39	24	1	1	39	20	55	1.2	21.2
9b96417c60b8496150eb_mega	b52c85d4331d3b5d7552_S2648	12	30.769	22	56.41	39	24	1	1	39	24	59	1.9	20.4
9b96417c60b8496150eb_mega	b9a20a9154b685b01d63_ptmuld	6	50.0	9	75.0	12	6	0	5	16	133	144	2.2	20.4
9b96417c60b8496150eb_mega	923ffa3d721caf413124_Ssym	6	50.0	9	75.0	12	6	0	5	16	133	144	2.2	20.4
9b96417c60b8496150eb_mega	92e96129b8fd9a391e0d_tmdbs	6	50.0	9	75.0	12	6	0	5	16	133	144	2.2	20.4
9b96417c60b8496150eb_mega	92e96129b8fd9a391e0d_tmdbm	6	50.0	9	75.0	12	6	0	5	16	133	144	2.2	20.4
9b96417c60b8496150eb_mega	92e96129b8fd9a391e0d_Ssym	6	50.0	9	75.0	12	6	0	5	16	133	144	2.2	20.4
9b96417c60b8496150eb_mega	92e96129b8fd9a391e0d_S2648	6	50.0	9	75.0	12	6	0	5	16	133	144	2.2	20.4
9b96417c60b8496150eb_mega	92e96129b8fd9a391e0d_ptmuld	6	50.0	9	75.0	12	6	0	5	16	133	144	2.2	20.4
9b96417c60b8496150eb_mega	bf1e9cb96573d26f633c_tmdbs	12	30.769	22	56.41	39	24	1	1	39	25	60	2.3	20.4
9b96417c60b8496150eb_mega	bf1e9cb96573d26f633c_tmdbm	12	30.769	22	56.41	39	24	1	1	39	25	60	2.3	20.4
9b96417c60b8496150eb_mega	bf1e9cb96573d26f633c_fireprot	12	30.769	22	56.41	39	24	1	1	39	25	60	2.3	20.4
9b96417c60b8496150eb_mega	5d089892785692506fa0_mega	9	42.857	12	57.14	21	11	1	10	30	10	29	2.4	20.0
9b96417c60b8496150eb_mega	e14c85b5d4e8697d566c_tmdbs	9	25.0	16	44.44	36	27	0	2	37	14	49	3.1	20.0
9b96417c60b8496150eb_mega	e14c85b5d4e8697d566c_S2648	9	25.0	16	44.44	36	27	0	2	37	14	49	3.1	20.0
9b96417c60b8496150eb_mega	ce3e546baefd1f214fcc_fireprot	12	30.769	22	56.41	39	24	1	1	39	25	60	3.4	20.0
9b96417c60b8496150eb_mega	060d7b71fc84f8f1f7e6_tmdbs	7	46.667	13	86.67	15	8	0	33	47	257	271	6.4	19.2
9b96417c60b8496150eb_mega	de4937817c417a2c6dcb_mega	8	25.806	19	61.29	31	23	0	38	68	33	63	7.0	18.9
9b96417c60b8496150eb_mega	f94b9ec948ac48f2654c_tmdbs	9	25.0	16	44.44	36	27	0	2	37	815	850	7.9	19.2
9b96417c60b8496150eb_mega	f94b9ec948ac48f2654c_fireprot	9	25.0	16	44.44	36	27	0	2	37	815	850	7.9	19.2
5330c36bf5ebb10b7ca7_mega	5330c36bf5ebb10b7ca7_mega	69	100.0	69	100.0	69	0	0	1	69	1	69	1.0400000000000001e-47	140.0
5330c36bf5ebb10b7ca7_mega	9b96417c60b8496150eb_mega	67	97.101	67	97.1	69	2	0	1	69	1	69	5.75e-46	135.0
5330c36bf5ebb10b7ca7_mega	1dbbb52ae32b9392fa55_mega	33	53.226	43	69.35	62	28	1	6	67	4	64	3.21e-18	65.9
5330c36bf5ebb10b7ca7_mega	94ae660e6fc7a987ed0c_mega	32	53.333	41	68.33	60	27	1	8	67	6	64	6.11e-17	62.4
5330c36bf5ebb10b7ca7_mega	ee3b4526d14843725d53_tmdbs	29	46.032	44	69.84	63	33	1	6	68	3	64	1.45e-15	58.9
5330c36bf5ebb10b7ca7_mega	980048d4815b02ecaf6a_tmdbs	28	52.83	35	66.04	53	25	0	4	56	5	57	2.67e-15	58.5
5330c36bf5ebb10b7ca7_mega	980048d4815b02ecaf6a_tmdbm	28	52.83	35	66.04	53	25	0	4	56	5	57	2.67e-15	58.5
5330c36bf5ebb10b7ca7_mega	980048d4815b02ecaf6a_fireprot	28	52.83	35	66.04	53	25	0	4	56	5	57	2.67e-15	58.5
5330c36bf5ebb10b7ca7_mega	e5b8d48ca93aaca5f5c6_S2648	28	52.83	35	66.04	53	25	0	4	56	4	56	2.91e-15	58.5
5330c36bf5ebb10b7ca7_mega	e5b8d48ca93aaca5f5c6_ptmuld	28	52.83	35	66.04	53	25	0	4	56	4	56	2.91e-15	58.5
5330c36bf5ebb10b7ca7_mega	89dc86e7ce24577d5142_tmdbs	29	47.541	40	65.57	61	31	1	6	66	4	63	6.14e-15	57.4
5330c36bf5ebb10b7ca7_mega	89dc86e7ce24577d5142_tmdbm	29	47.541	40	65.57	61	31	1	6	66	4	63	6.14e-15	57.4
5330c36bf5ebb10b7ca7_mega	89dc86e7ce24577d5142_S2648	29	47.541	40	65.57	61	31	1	6	66	4	63	6.14e-15	57.4
5330c36bf5ebb10b7ca7_mega	89dc86e7ce24577d5142_ptmuld	29	47.541	40	65.57	61	31	1	6	66	4	63	6.14e-15	57.4
5330c36bf5ebb10b7ca7_mega	7875d84d293f77452d60_mega	27	50.943	34	64.15	53	26	0	4	56	3	55	2.03e-14	56.2
5330c36bf5ebb10b7ca7_mega	577da8c6741ee1667c4c_tmdbs	31	50.82	38	62.3	61	29	1	6	66	4	63	2.24e-14	56.2
5330c36bf5ebb10b7ca7_mega	577da8c6741ee1667c4c_tmdbm	31	50.82	38	62.3	61	29	1	6	66	4	63	2.24e-14	56.2
5330c36bf5ebb10b7ca7_mega	577da8c6741ee1667c4c_S2648	31	50.82	38	62.3	61	29	1	6	66	4	63	2.24e-14	56.2
5330c36bf5ebb10b7ca7_mega	577da8c6741ee1667c4c_ptmuld	31	50.82	38	62.3	61	29	1	6	66	4	63	2.24e-14	56.2
5330c36bf5ebb10b7ca7_mega	577da8c6741ee1667c4c_fireprot	31	50.82	38	62.3	61	29	1	6	66	4	63	2.24e-14	56.2
5330c36bf5ebb10b7ca7_mega	7aad94b380af53395ccf_mega	27	50.943	34	64.15	53	26	0	4	56	3	55	3.36e-14	55.5
5330c36bf5ebb10b7ca7_mega	548d3de7df26cc4d0f93_mega	31	50.82	37	60.66	61	29	1	6	66	4	63	1.38e-13	53.9
5330c36bf5ebb10b7ca7_mega	d7f2c51b0f22ae017f29_mega	30	49.18	37	60.66	61	30	1	6	66	4	63	5.83e-13	52.4
5330c36bf5ebb10b7ca7_mega	2df66e157786d2d80405_mega	13	41.935	19	61.29	31	17	1	6	36	3	32	0.08	23.9
5330c36bf5ebb10b7ca7_mega	ac25bc3c98d4695d9ddc_ptmuld	12	30.769	22	56.41	39	24	1	1	39	20	55	1.6	20.8
5330c36bf5ebb10b7ca7_mega	e91c32fc0f7936e0e3ea_tmdbs	12	30.769	22	56.41	39	24	1	1	39	20	55	1.7	20.8
5330c36bf5ebb10b7ca7_mega	e91c32fc0f7936e0e3ea_tmdbm	12	30.769	22	56.41	39	24	1	1	39	20	55	1.7	20.8
5330c36bf5ebb10b7ca7_mega	923ffa3d721caf413124_Ssym	6	50.0	8	66.67	12	6	0	5	16	133	144	2.7	20.4
5330c36bf5ebb10b7ca7_mega	b9a20a9154b685b01d63_ptmuld	6	50.0	8	66.67	12	6	0	5	16	133	144	2.8	20.4
5330c36bf5ebb10b7ca7_mega	92e96129b8fd9a391e0d_tmdbs	6	50.0	8	66.67	12	6	0	5	16	133	144	2.8	20.4
5330c36bf5ebb10b7ca7_mega	92e96129b8fd9a391e0d_tmdbm	6	50.0	8	66.67	12	6	0	5	16	133	144	2.8	20.4
5330c36bf5ebb10b7ca7_mega	92e96129b8fd9a391e0d_Ssym	6	50.0	8	66.67	12	6	0	5	16	133	144	2.8	20.4
5330c36bf5ebb10b7ca7_mega	92e96129b8fd9a391e0d_S2648	6	50.0	8	66.67	12	6	0	5	16	133	144	2.8	20.4
5330c36bf5ebb10b7ca7_mega	92e96129b8fd9a391e0d_ptmuld	6	50.0	8	66.67	12	6	0	5	16	133	144	2.8	20.4
5330c36bf5ebb10b7ca7_mega	b52c85d4331d3b5d7552_S2648	12	30.769	22	56.41	39	24	1	1	39	24	59	2.8	20.0
5330c36bf5ebb10b7ca7_mega	bf1e9cb96573d26f633c_tmdbs	12	30.769	22	56.41	39	24	1	1	39	25	60	2.9	20.0
5330c36bf5ebb10b7ca7_mega	bf1e9cb96573d26f633c_tmdbm	12	30.769	22	56.41	39	24	1	1	39	25	60	2.9	20.0
5330c36bf5ebb10b7ca7_mega	bf1e9cb96573d26f633c_fireprot	12	30.769	22	56.41	39	24	1	1	39	25	60	2.9	20.0
5330c36bf5ebb10b7ca7_mega	adbed31d9631c221af5e_S669	9	39.13	11	47.83	23	14	0	12	34	7	29	4.7	19.6
5330c36bf5ebb10b7ca7_mega	ce3e546baefd1f214fcc_fireprot	12	30.769	22	56.41	39	24	1	1	39	25	60	4.7	19.6
5330c36bf5ebb10b7ca7_mega	060d7b71fc84f8f1f7e6_tmdbs	7	46.667	13	86.67	15	8	0	33	47	257	271	6.4	19.2
5330c36bf5ebb10b7ca7_mega	e14c85b5d4e8697d566c_tmdbs	9	25.0	15	41.67	36	27	0	2	37	14	49	6.7	18.9
5330c36bf5ebb10b7ca7_mega	e14c85b5d4e8697d566c_S2648	9	25.0	15	41.67	36	27	0	2	37	14	49	6.7	18.9
5330c36bf5ebb10b7ca7_mega	de4937817c417a2c6dcb_mega	8	25.806	19	61.29	31	23	0	38	68	33	63	6.8	18.9
7aad94b380af53395ccf_mega	7aad94b380af53395ccf_mega	68	100.0	68	100.0	68	0	0	1	68	1	68	1.5e-46	137.0
7aad94b380af53395ccf_mega	980048d4815b02ecaf6a_tmdbs	67	98.529	67	98.53	68	1	0	1	68	3	70	8.329999999999999e-46	135.0
7aad94b380af53395ccf_mega	980048d4815b02ecaf6a_tmdbm	67	98.529	67	98.53	68	1	0	1	68	3	70	8.329999999999999e-46	135.0
7aad94b380af53395ccf_mega	980048d4815b02ecaf6a_fireprot	67	98.529	67	98.53	68	1	0	1	68	3	70	8.329999999999999e-46	135.0
7aad94b380af53395ccf_mega	e5b8d48ca93aaca5f5c6_S2648	67	98.529	67	98.53	68	1	0	1	68	2	69	9.24e-46	135.0
7aad94b380af53395ccf_mega	e5b8d48ca93aaca5f5c6_ptmuld	67	98.529	67	98.53	68	1	0	1	68	2	69	9.24e-46	135.0
7aad94b380af53395ccf_mega	7875d84d293f77452d60_mega	66	97.059	66	97.06	68	2	0	1	68	1	68	4.32e-45	133.0
7aad94b380af53395ccf_mega	94ae660e6fc7a987ed0c_mega	40	67.797	47	79.66	59	18	1	7	65	6	63	2.8499999999999997e-25	83.6
7aad94b380af53395ccf_mega	1dbbb52ae32b9392fa55_mega	40	65.574	47	77.05	61	20	1	5	65	4	63	1.4799999999999999e-24	81.6
7aad94b380af53395ccf_mega	577da8c6741ee1667c4c_tmdbs	39	60.938	48	75.0	64	24	1	3	66	2	64	6.04e-24	80.1
7aad94b380af53395ccf_mega	577da8c6741ee1667c4c_tmdbm	39	60.938	48	75.0	64	24	1	3	66	2	64	6.04e-24	80.1
7aad94b380af53395ccf_mega	577da8c6741ee1667c4c_S2648	39	60.938	48	75.0	64	24	1	3	66	2	64	6.04e-24	80.1
7aad94b380af53395ccf_mega	577da8c6741ee1667c4c_ptmuld	39	60.938	48	75.0	64	24	1	3	66	2	64	6.04e-24	80.1
7aad94b380af53395ccf_mega	577da8c6741ee1667c4c_fireprot	39	60.938	48	75.0	64	24	1	3	66	2	64	6.04e-24	80.1
7aad94b380af53395ccf_mega	89dc86e7ce24577d5142_tmdbs	38	59.375	48	75.0	64	25	1	5	68	4	66	2.0999999999999998e-23	79.0
7aad94b380af53395ccf_mega	89dc86e7ce24577d5142_tmdbm	38	59.375	48	75.0	64	25	1	5	68	4	66	2.0999999999999998e-23	79.0
7aad94b380af53395ccf_mega	89dc86e7ce24577d5142_S2648	38	59.375	48	75.0	64	25	1	5	68	4	66	2.0999999999999998e-23	79.0
7aad94b380af53395ccf_mega	89dc86e7ce24577d5142_ptmuld	38	59.375	48	75.0	64	25	1	5	68	4	66	2.0999999999999998e-23	79.0
7aad94b380af53395ccf_mega	d7f2c51b0f22ae017f29_mega	38	59.375	47	73.44	64	25	1	3	66	2	64	1.14e-22	77.0
7aad94b380af53395ccf_mega	548d3de7df26cc4d0f93_mega	38	59.375	47	73.44	64	25	1	3	66	2	64	1.39e-22	76.6
7aad94b380af53395ccf_mega	ee3b4526d14843725d53_tmdbs	36	57.143	47	74.6	63	26	1	3	65	1	62	5.17e-22	75.5
7aad94b380af53395ccf_mega	9b96417c60b8496150eb_mega	29	49.153	36	61.02	59	30	0	7	65	8	66	9.42e-15	57.0
7aad94b380af53395ccf_mega	5330c36bf5ebb10b7ca7_mega	27	50.943	34	64.15	53	26	0	3	55	4	56	3.31e-14	55.5
7aad94b380af53395ccf_mega	2df66e157786d2d80405_mega	19	40.426	26	55.32	47	23	2	3	49	1	42	0.001	28.9
7aad94b380af53395ccf_mega	5d089892785692506fa0_mega	20	35.088	26	45.61	57	33	3	6	62	7	59	0.008	26.6
7aad94b380af53395ccf_mega	a1fcb1773be93dda99d9_mega	7	50.0	8	57.14	14	7	0	13	26	7	20	5.1	18.9
7aad94b380af53395ccf_mega	a9ac42b2583e0016c727_fireprot	6	54.545	8	72.73	11	5	0	6	16	33	43	5.6	19.6
7aad94b380af53395ccf_mega	de25349815375de653a2_tmdbs	6	54.545	8	72.73	11	5	0	6	16	7	17	6.0	19.2
7aad94b380af53395ccf_mega	de25349815375de653a2_tmdbm	6	54.545	8	72.73	11	5	0	6	16	7	17	6.0	19.2
